POS,PLAYER,Mat,Inns,NO,Runs,HS,BF,100,50,4s,6s
1,DavidWarner,12,12,2,692,100*,481,1,8,57,21
2,KL Rahul,14,14,3,593,100*,438,1,6,49,25
3,Quinton de Kock,16,16,1,529,81,398,0,4,45,25
4,Shikhar Dhawan,16,16,1,521,97*,384,0,5,64,11
5,Andre Russell,14,13,4,510,80*,249,0,4,31,52
6,Chris Gayle,13,13,1,490,99*,319,0,4,45,34
7,Rishabh Pant,16,16,3,488,78*,300,0,3,37,27
8,Virat Kohli,14,14,0,464,100,328,1,2,46,13
9,Shreyas Iyer,16,16,1,463,67,386,0,3,41,14
10,Jonny Bairstow,10,10,2,445,114,283,1,2,48,18
11,AB de Villiers,13,13,3,442,82*,287,0,5,31,26
12,Suryakumar Yadav,16,15,2,424,71*,324,0,2,45,10
13,MS Dhoni,15,12,7,416,84*,309,0,3,22,23
14,Chris Lynn,13,13,0,405,82,290,0,4,41,22
15,Rohit Sharma,15,15,1,405,67,315,0,2,52,10
16,Hardik Pandya,16,15,6,402,91,210,0,1,28,29
17,Shane Watson,17,17,0,398,96,312,0,3,42,20
18,Faf du Plessis,12,12,1,396,96,321,0,3,36,15
19,Ajinkya Rahane,14,13,1,393,105*,285,1,1,45,9
20,Suresh Raina,17,17,1,383,59,314,0,3,45,9
21,Parthiv Patel,14,14,0,373,67,268,0,2,48,10
22,Prithvi Shaw,16,16,0,353,99,264,0,2,45,9
23,Manish Pandey,12,11,3,344,83*,263,0,3,34,6
24,Nitish Rana,14,11,1,344,85*,235,0,3,27,21
25,Sanju Samson,12,12,2,342,102*,230,1,0,28,13
26,Mayank Agarwal,13,13,0,332,58,234,0,2,26,14
27,Steve Smith,12,10,2,319,73*,275,0,3,30,4
28,Jos Buttler,8,8,0,311,89,205,0,3,38,14
29,Shubman Gill,14,13,4,296,76,238,0,3,21,10
30,Ambati Rayudu,17,17,5,282,57,303,0,1,20,7
31,Robin Uthappa,12,11,2,282,67*,245,0,1,28,10
32,Kieron Pollard,16,14,6,279,83,178,0,1,14,22
33,Dinesh Karthik,14,13,5,253,97*,173,0,2,22,14
34,Vijay Shankar,15,14,2,244,40*,193,0,0,11,12
35,Moeen Ali,11,10,2,220,66,133,0,2,16,17
36,David Miller,10,10,2,213,59*,164,0,1,19,7
37,Marcus Stoinis,10,10,6,211,46*,156,0,0,14,10
38,Colin Ingram,12,12,2,184,47,154,0,0,20,5
39,Krunal Pandya,16,15,4,183,42,150,0,0,18,5
40,Sarfaraz Khan,8,5,1,180,67,143,0,1,19,4
41,Nicholas Pooran,7,6,0,168,48,107,0,0,10,14
42,Mandeep Singh,13,12,8,165,33*,120,0,0,10,4
43,Kedar Jadhav,14,12,3,162,58,169,0,1,19,3
44,Riyan Parag,7,5,0,160,50,126,0,1,17,5
45,Kane Williamson,9,9,2,156,70*,130,0,1,12,5
46,Sunil Narine,12,9,1,143,47,86,0,0,17,9
47,Rahul Tripathi,8,7,1,141,50,118,0,1,13,2
48,Ben Stokes,9,9,3,123,46,99,0,0,8,4
49,Mohammad Nabi,8,7,1,115,31,76,0,0,8,7
50,Axar Patel,14,12,6,110,26,88,0,0,10,3
51,Ravindra Jadeja,16,9,6,106,31*,88,0,0,7,4
52,Ishan Kishan,7,6,0,101,28,100,0,0,8,4
53,Yuvraj Singh,4,4,0,98,53,75,0,1,7,6
54,Gurkeerat Mann Singh,3,3,0,98,65,70,0,1,11,2
55,Sam Curran,9,8,4,95,55*,55,0,1,13,3
56,Shimron Hetmyer,5,5,0,90,75,73,0,1,4,7
