,alls_POS,Pts,alls_Mat,alls_Wkts,Dots,alls_4s,alls_6s,Catches,Stumpings,Bat_POS,Bat_Inns,NO,Bat_Runs,HS,BF,100,50,Bat_Avg,Bat_SR,Bow_POS,Bow_Inns,Ov,Bow_Runs,BBI,4w,5w,Bow_Avg,Balls,economy,Bow_SR
0,1.0,369.0,14.0,11.0,61.0,31.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,342.0,16.0,14.0,94.0,28.0,29.0,11.0,0.0,16.0,15.0,6.0,402.0,91,210.0,0.0,1.0,44.67,191.43,14.0,16.0,42.3,390.0,0.0,0.0,0.0,27.86,255.0,9.18,18.21
2,3.0,274.5,17.0,22.0,190.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,64.3,482.0,0.0,0.0,0.0,21.91,387.0,7.47,17.59
3,4.0,255.0,17.0,26.0,149.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,247.5,16.0,0.0,0.0,45.0,25.0,17.0,2.0,3.0,16.0,1.0,529.0,81,398.0,0.0,4.0,35.27,132.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,247.5,15.0,17.0,166.0,2.0,2.0,4.0,0.0,76.0,8.0,3.0,34.0,17,23.0,0.0,0.0,6.8,147.83,9.0,15.0,60.0,377.0,0.0,0.0,0.0,22.18,360.0,6.28,21.18
6,7.0,247.0,16.0,0.0,0.0,37.0,27.0,18.0,6.0,7.0,16.0,3.0,488.0,78,300.0,0.0,3.0,37.54,162.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,240.5,16.0,19.0,169.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,61.4,409.0,0.0,0.0,0.0,21.53,370.0,6.63,19.47
8,9.0,234.5,16.0,15.0,128.0,7.0,4.0,9.0,0.0,51.0,9.0,6.0,106.0,31,88.0,0.0,0.0,35.33,120.45,12.0,16.0,54.0,343.0,0.0,0.0,0.0,22.87,324.0,6.35,21.6
9,10.0,231.5,13.0,0.0,0.0,45.0,34.0,0.0,0.0,6.0,13.0,1.0,490.0,99,319.0,0.0,4.0,40.83,153.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.0,227.5,14.0,0.0,0.0,49.0,25.0,7.0,0.0,2.0,14.0,3.0,593.0,100,438.0,1.0,6.0,53.91,135.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,226.0,15.0,13.0,168.0,1.0,0.0,4.0,0.0,92.0,5.0,2.0,12.0,7,19.0,0.0,0.0,4.0,63.16,17.0,15.0,59.0,461.0,0.0,0.0,0.0,35.46,354.0,7.81,27.23
12,13.0,221.0,12.0,0.0,0.0,57.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.0,219.0,12.0,25.0,113.0,0.0,1.0,6.0,0.0,91.0,4.0,1.0,14.0,9,15.0,0.0,0.0,4.67,93.33,2.0,12.0,47.0,368.0,0.0,2.0,0.0,14.72,282.0,7.83,11.28
14,15.0,213.0,14.0,20.0,107.0,8.0,1.0,5.0,0.0,67.0,7.0,3.0,63.0,19,46.0,0.0,0.0,15.75,136.96,4.0,14.0,48.0,347.0,0.0,0.0,0.0,17.35,288.0,7.23,14.4
15,16.0,211.0,16.0,0.0,0.0,64.0,11.0,5.0,0.0,4.0,16.0,1.0,521.0,97,384.0,0.0,5.0,34.73,135.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.0,211.0,16.0,12.0,94.0,18.0,5.0,5.0,0.0,39.0,15.0,4.0,183.0,42,150.0,0.0,0.0,16.64,122.0,19.0,16.0,46.0,335.0,0.0,0.0,0.0,27.92,276.0,7.28,23.0
17,18.0,210.5,10.0,0.0,0.0,48.0,18.0,9.0,2.0,10.0,10.0,2.0,445.0,114,283.0,1.0,2.0,55.62,157.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19.0,205.0,12.0,10.0,96.0,17.0,9.0,0.0,0.0,46.0,9.0,1.0,143.0,47,86.0,0.0,0.0,17.88,166.28,27.0,12.0,44.2,347.0,0.0,0.0,0.0,34.7,266.0,7.83,26.6
19,20.0,203.0,14.0,10.0,110.0,10.0,3.0,9.0,0.0,50.0,12.0,6.0,110.0,26,88.0,0.0,0.0,18.33,125.0,26.0,14.0,51.0,364.0,0.0,0.0,0.0,36.4,306.0,7.14,30.6
20,21.0,198.0,14.0,19.0,119.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22.0,191.0,11.0,11.0,121.0,4.0,4.0,3.0,0.0,64.0,5.0,3.0,67.0,27,40.0,0.0,0.0,33.5,167.5,22.0,11.0,43.0,291.0,0.0,0.0,0.0,26.45,258.0,6.77,23.45
22,23.0,190.0,17.0,0.0,0.0,42.0,20.0,6.0,0.0,17.0,17.0,0.0,398.0,96,312.0,0.0,3.0,23.41,127.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24.0,187.5,14.0,18.0,117.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,49.2,386.0,0.0,1.0,0.0,21.44,296.0,7.82,16.44
24,25.0,187.0,13.0,11.0,141.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,48.0,397.0,0.0,0.0,0.0,36.09,288.0,8.27,26.18
